AISelect,AISent,AIBen,AIAcc,AIComplex,AIThreat,AIEthics,AIChallenges,MainBranch,DevType,OrgSize,YearsCode,YearsCodePro,Country,CompTotal,Currency,Industry,Employment,RemoteWork,EdLevel,Age,TimeSearching,TimeAnswering,JobSat,PurchaseInfluence,ICorPM,WorkExp,AI_Status,Is_AI_User,Sentiment_Score,Sentiment_Category,Trust_Score,Complexity_Score,Company_Size_Category,Company_Size_Order,Years_Pro_Clean,Experience_Level,Threat_Category,Role_Category,Ben_Increase_productivit,Ben_Speed_up_learning,Ben_Greater_efficiency,Ben_Improve_accuracy_in_,Ben_Make_workload_more_m,Ben_Improve_collaboratio,Benefits_Count,Challenge_Trust,Challenge_Context,Challenge_Security,Challenge_Training,Challenge_Adoption,Challenges_Count,Time_Searching_Mins,Comp_Clean,Hourly_Rate_Est,Hours_Saved_Weekly_Low,Hours_Saved_Weekly_Mid,Hours_Saved_Weekly_High,Value_Annual_Low,Value_Annual_Mid,Value_Annual_High,ROI_Low,ROI_Mid,ROI_High,AI_Perception_Score,AI_Perception_Category,Region
"No, and I don't plan to",,,,,,,,I am a developer by profession,Developer Advocate,,30,25,Poland,,,,"Employed, full-time",In-person,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",45-54 years old,,,,,,,Not Using,0,,,,,,,25.0,Expert (10+),,Other Developer,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,2,5,8,,,,,,,3.0,Neutral,Western Europe
"No, and I don't plan to",,,,,,,,I am a developer by profession,"Developer, back-end",,20,12,United States of America,,,Software Development,"Employed, full-time","Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",35-44 years old,30-60 minutes a day,15-30 minutes a day,8.0,,Individual contributor,12.0,Not Using,0,,,,,,,12.0,Expert (10+),,Back-End Developer,0,0,0,0,0,0,0,0,0,0,0,0,0,45.0,,,2,5,8,,,,,,,3.0,Neutral,North America
Yes,Very favorable,Increase productivity;Greater efficiency;Improve collaboration;Speed up learning;Improve accuracy in coding;Make workload more manageable,Highly trust,Very well at handling complex tasks,I'm not sure,Biased results that do not represent diverse viewpoints,,"I used to be a developer by profession, but no longer am",Other (please specify):,,20,,Philippines,,,,"Not employed, and not looking for work",,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",35-44 years old,,,,,,,Using AI,1,5.0,Positive,5.0,5.0,,,,Unknown,Uncertain,Other Developer,1,1,1,1,1,1,6,0,0,0,0,0,0,,,,2,5,8,,,,,,,5.0,Enthusiastic,East/SE Asia
"No, and I don't plan to",,,,,,,,I am a developer by profession,,,15,10,Bulgaria,,,,"Employed, full-time","Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",25-34 years old,,,,,,,Not Using,0,,,,,,,10.0,Expert (10+),,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,2,5,8,,,,,,,3.0,Neutral,Eastern Europe
"No, and I don't plan to",,,,,,,,I am a developer by profession,"Developer, full-stack",,31,27,Switzerland,,,Banking/Financial Services,"Employed, full-time","Hybrid (some remote, some in-person)",Some college/university study without earning a degree,45-54 years old,60-120 minutes a day,60-120 minutes a day,5.0,,Individual contributor,29.0,Not Using,0,,,,,,,27.0,Expert (10+),,Full-Stack Developer,0,0,0,0,0,0,0,0,0,0,0,0,0,90.0,,,2,5,8,,,,,,,3.0,Neutral,Western Europe
Yes,Favorable,Increase productivity;Greater efficiency,Somewhat distrust,Neither good or bad at handling complex tasks,No,Circulating misinformation or disinformation;Missing or incorrect attribution for sources of data;Imitating a person's likeness,,I code primarily as a hobby,Student,,7,,Canada,,,,"Student, full-time",,Primary/elementary school,Under 18 years old,,,,,,,Using AI,1,4.0,Positive,2.0,3.0,,,,Unknown,Not Threatened,Student,1,0,1,0,0,0,2,0,0,0,0,0,0,,,,2,5,8,,,,,,,3.0,Neutral,North America
"No, but I plan to soon",Favorable,,,,I'm not sure,Replacing jobs without options for new employment opportunities;Imitating a person's likeness,Lack of executive buy-in,I am a developer by profession,"Developer, front-end",,6,3,India,,,,"Independent contractor, freelancer, or self-employed",Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",18-24 years old,,,,,,,Planning to Use,0,4.0,Positive,,,,,3.0,Mid (2-5),Uncertain,Front-End Developer,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,2,5,8,,,,,,,3.333333333333333,Positive,South Asia
Yes,Very favorable,Increase productivity;Greater efficiency;Improve accuracy in coding;Make workload more manageable,Neither trust nor distrust,Neither good or bad at handling complex tasks,No,Energy demand,Not everyone uses them,I am a developer by profession,"Developer, full-stack",,12,10,Germany,,,Software Development,"Employed, full-time","Hybrid (some remote, some in-person)",Some college/university study without earning a degree,25-34 years old,15-30 minutes a day,30-60 minutes a day,10.0,,Individual contributor,12.0,Using AI,1,5.0,Positive,3.0,3.0,,,10.0,Expert (10+),Not Threatened,Full-Stack Developer,1,0,1,1,1,0,4,0,0,0,0,1,1,22.5,,,2,5,8,,,,,,,3.6666666666666665,Positive,Western Europe
"No, and I don't plan to",,,,,,,,I am a developer by profession,Database administrator,,22,11,United Kingdom of Great Britain and Northern Ireland,,,,"Employed, full-time","Hybrid (some remote, some in-person)",Some college/university study without earning a degree,35-44 years old,,,,,,,Not Using,0,,,,,,,11.0,Expert (10+),,Other Developer,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,2,5,8,,,,,,,3.0,Neutral,Western Europe
Yes,Unsure,Increase productivity;Greater efficiency;Improve accuracy in coding;Make workload more manageable,Somewhat trust,Bad at handling complex tasks,I'm not sure,Circulating misinformation or disinformation;Missing or incorrect attribution for sources of data;Replacing jobs without options for new employment opportunities;Biased results that do not represent diverse viewpoints;Imitating a person's likeness;Energy demand,Lack of proper training and education on new tools;Not everyone uses them,"I am not primarily a developer, but I write code sometimes as part of my work/studies",Other (please specify):,,5,Less than 1 year,Germany,,,Other:,"Employed, full-time","Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",25-34 years old,Less than 15 minutes a day,15-30 minutes a day,6.0,,Individual contributor,10.0,Using AI,1,3.0,Neutral,4.0,2.0,,,0.5,Junior (0-2),Uncertain,Other Developer,1,0,1,1,1,0,4,0,0,0,1,1,2,7.5,,,2,5,8,,,,,,,3.0,Neutral,Western Europe
Yes,Very favorable,Increase productivity;Greater efficiency;Improve accuracy in coding,Somewhat trust,"Good, but not great at handling complex tasks",No,Circulating misinformation or disinformation,"AI tools lack context of codebase,  internal architecture, and/or company knowledge;Not everyone uses them",I am a developer by profession,"Developer, full-stack",,36,11,Germany,,,,"Employed, full-time",In-person,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",35-44 years old,,,,,,,Using AI,1,5.0,Positive,4.0,4.0,,,11.0,Expert (10+),Not Threatened,Full-Stack Developer,1,0,1,1,0,0,3,0,1,0,0,1,2,,,,2,5,8,,,,,,,4.333333333333333,Enthusiastic,Western Europe
Yes,Very favorable,Increase productivity;Speed up learning,Somewhat trust,"Good, but not great at handling complex tasks",No,Circulating misinformation or disinformation;Missing or incorrect attribution for sources of data;Biased results that do not represent diverse viewpoints;Imitating a person's likeness;Energy demand,Don’t trust the output or answers;Not everyone uses them,I am a developer by profession,"Developer, back-end",,25,18,Ireland,,,Banking/Financial Services,"Employed, full-time",Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",45-54 years old,60-120 minutes a day,15-30 minutes a day,9.0,,Individual contributor,18.0,Using AI,1,5.0,Positive,4.0,4.0,,,18.0,Expert (10+),Not Threatened,Back-End Developer,1,1,0,0,0,0,2,1,0,0,0,1,2,90.0,,,2,5,8,,,,,,,4.333333333333333,Enthusiastic,Western Europe
"No, and I don't plan to",,,,,,,,I am a developer by profession,"Developer, desktop or enterprise applications",,44,37,United States of America,,,,"Employed, full-time","Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",55-64 years old,,,,,,,Not Using,0,,,,,,,37.0,Expert (10+),,Other Developer,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,2,5,8,,,,,,,3.0,Neutral,North America
"No, and I don't plan to",,,,,,,,I am a developer by profession,"Developer, full-stack",,20,15,Italy,,,Banking/Financial Services,"Employed, full-time;Student, part-time",Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",35-44 years old,15-30 minutes a day,Less than 15 minutes a day,4.0,,Individual contributor,16.0,Not Using,0,,,,,,,15.0,Expert (10+),,Full-Stack Developer,0,0,0,0,0,0,0,0,0,0,0,0,0,22.5,,,2,5,8,,,,,,,3.0,Neutral,Western Europe
"No, but I plan to soon",Indifferent,,,,No,Circulating misinformation or disinformation;Missing or incorrect attribution for sources of data;Imitating a person's likeness,,I am a developer by profession,"Developer, full-stack",,24,20,United States of America,,,,"Employed, full-time","Hybrid (some remote, some in-person)","Associate degree (A.A., A.S., etc.)",45-54 years old,,,,,,,Planning to Use,0,3.0,Neutral,,,,,20.0,Expert (10+),Not Threatened,Full-Stack Developer,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,2,5,8,,,,,,,3.0,Neutral,North America
Yes,Favorable,Increase productivity;Greater efficiency;Speed up learning,Neither trust nor distrust,"Good, but not great at handling complex tasks",I'm not sure,Circulating misinformation or disinformation;Missing or incorrect attribution for sources of data;Replacing jobs without options for new employment opportunities;Energy demand,Don’t trust the output or answers;Lack of proper training and education on new tools;Not everyone uses them;We don’t have the right policies in place to reduce security risks,I am a developer by profession,"Developer, full-stack",,20,17,Italy,,,Media & Advertising Services,"Employed, full-time",Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",35-44 years old,30-60 minutes a day,30-60 minutes a day,7.0,,Individual contributor,17.0,Using AI,1,4.0,Positive,3.0,4.0,,,17.0,Expert (10+),Uncertain,Full-Stack Developer,1,1,1,0,0,0,3,1,0,1,1,1,4,45.0,,,2,5,8,,,,,,,3.6666666666666665,Positive,Western Europe
Yes,Very favorable,Increase productivity;Greater efficiency;Speed up learning,Somewhat trust,Bad at handling complex tasks,No,Circulating misinformation or disinformation,"AI tools lack context of codebase,  internal architecture, and/or company knowledge;Lack of proper training and education on new tools;Lack of executive buy-in;Not everyone uses them",I am a developer by profession,Cloud infrastructure engineer,,7,6,Ukraine,,,Software Development,"Employed, full-time;Independent contractor, freelancer, or self-employed",Remote,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",25-34 years old,60-120 minutes a day,15-30 minutes a day,7.0,,Individual contributor,6.0,Using AI,1,5.0,Positive,4.0,2.0,,,6.0,Senior (5-10),Not Threatened,Other Developer,1,1,1,0,0,0,3,0,1,0,1,1,4,90.0,,,2,5,8,,,,,,,3.6666666666666665,Positive,Eastern Europe
"No, but I plan to soon",Indifferent,,,,No,Circulating misinformation or disinformation;Missing or incorrect attribution for sources of data,Other (please specify):,I am a developer by profession,"Developer, full-stack",,18,12,United Kingdom of Great Britain and Northern Ireland,,,,"Independent contractor, freelancer, or self-employed",Remote,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",25-34 years old,,,,,,,Planning to Use,0,3.0,Neutral,,,,,12.0,Expert (10+),Not Threatened,Full-Stack Developer,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,2,5,8,,,,,,,3.0,Neutral,Western Europe
Yes,Very favorable,Greater efficiency;Speed up learning;Improve accuracy in coding;Make workload more manageable,Neither trust nor distrust,"Good, but not great at handling complex tasks",No,Circulating misinformation or disinformation;Biased results that do not represent diverse viewpoints,Don’t trust the output or answers;Not everyone uses them,I am a developer by profession,"Developer, full-stack",,9,6,Philippines,,,,"Employed, full-time",Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",25-34 years old,,,,,,,Using AI,1,5.0,Positive,3.0,4.0,,,6.0,Senior (5-10),Not Threatened,Full-Stack Developer,0,1,1,1,1,0,4,1,0,0,0,1,2,,,,2,5,8,,,,,,,4.0,Positive,East/SE Asia
Yes,Indifferent,Speed up learning;Make workload more manageable,Somewhat distrust,Neither good or bad at handling complex tasks,No,Imitating a person's likeness;Energy demand,"AI tools lack context of codebase,  internal architecture, and/or company knowledge",I am a developer by profession,"Developer, back-end",,3,2,Australia,,,,"Student, full-time",,Something else,Prefer not to say,,,,,,,Using AI,1,3.0,Neutral,2.0,3.0,,,2.0,Mid (2-5),Not Threatened,Back-End Developer,0,1,0,0,1,0,2,0,1,0,0,0,1,,,,2,5,8,,,,,,,2.6666666666666665,Neutral,Oceania
"No, but I plan to soon",Indifferent,,,,No,Circulating misinformation or disinformation;Missing or incorrect attribution for sources of data;Energy demand,Don’t trust the output or answers,I am a developer by profession,Other (please specify):,,10,7,United States of America,,,Insurance,"Employed, full-time","Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",25-34 years old,60-120 minutes a day,15-30 minutes a day,7.0,,Individual contributor,7.0,Planning to Use,0,3.0,Neutral,,,,,7.0,Senior (5-10),Not Threatened,Other Developer,0,0,0,0,0,0,0,1,0,0,0,0,1,90.0,,,2,5,8,,,,,,,3.0,Neutral,North America
Yes,Indifferent,Improve accuracy in coding,Somewhat distrust,Neither good or bad at handling complex tasks,No,Circulating misinformation or disinformation;Missing or incorrect attribution for sources of data;Imitating a person's likeness;Energy demand,Don’t trust the output or answers;Lack of proper training and education on new tools,I am a developer by profession,"Developer, back-end",,12,7,Brazil,,,,"Employed, full-time",In-person,"Associate degree (A.A., A.S., etc.)",25-34 years old,,,,,,,Using AI,1,3.0,Neutral,2.0,3.0,,,7.0,Senior (5-10),Not Threatened,Back-End Developer,0,0,0,1,0,0,1,1,0,0,1,0,2,,,,2,5,8,,,,,,,2.6666666666666665,Neutral,Latin America
"No, but I plan to soon",Indifferent,,,,No,Circulating misinformation or disinformation;Missing or incorrect attribution for sources of data;Imitating a person's likeness,"Don’t trust the output or answers;AI tools lack context of codebase,  internal architecture, and/or company knowledge;We don’t have the right policies in place to reduce security risks",I am a developer by profession,"Developer, back-end",,18,16,Japan,,,"Internet, Telecomm or Information Services","Employed, full-time","Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",35-44 years old,60-120 minutes a day,60-120 minutes a day,6.0,,People manager,16.0,Planning to Use,0,3.0,Neutral,,,,,16.0,Expert (10+),Not Threatened,Back-End Developer,0,0,0,0,0,0,0,1,1,1,0,0,3,90.0,,,2,5,8,,,,,,,3.0,Neutral,East/SE Asia
Yes,Favorable,Increase productivity;Greater efficiency,Somewhat distrust,Bad at handling complex tasks,No,Circulating misinformation or disinformation;Imitating a person's likeness,"Don’t trust the output or answers;AI tools lack context of codebase,  internal architecture, and/or company knowledge",I code primarily as a hobby,Student,,5,,United States of America,,,,"Student, full-time",,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Under 18 years old,,,,,,,Using AI,1,4.0,Positive,2.0,2.0,,,,Unknown,Not Threatened,Student,1,0,1,0,0,0,2,1,1,0,0,0,2,,,,2,5,8,,,,,,,2.6666666666666665,Neutral,North America
"No, and I don't plan to",,,,,,,,I am a developer by profession,"Developer, full-stack",,10,6,United States of America,,,Software Development,"Employed, full-time",Remote,Some college/university study without earning a degree,25-34 years old,30-60 minutes a day,15-30 minutes a day,7.0,,Individual contributor,6.0,Not Using,0,,,,,,,6.0,Senior (5-10),,Full-Stack Developer,0,0,0,0,0,0,0,0,0,0,0,0,0,45.0,,,2,5,8,,,,,,,3.0,Neutral,North America
"No, and I don't plan to",,,,,,,,I am a developer by profession,Student,,9,8,Austria,,,,"Independent contractor, freelancer, or self-employed",Remote,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",18-24 years old,,,,,,,Not Using,0,,,,,,,8.0,Senior (5-10),,Student,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,2,5,8,,,,,,,3.0,Neutral,Western Europe
Yes,Favorable,Increase productivity,Somewhat trust,Bad at handling complex tasks,No,Circulating misinformation or disinformation;Missing or incorrect attribution for sources of data;Energy demand,"AI tools lack context of codebase,  internal architecture, and/or company knowledge;Lack of proper training and education on new tools;We don’t have the right policies in place to reduce security risks",I am a developer by profession,Data scientist or machine learning specialist,,10,6,"Iran, Islamic Republic of...",,,,"Employed, full-time",Remote,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",25-34 years old,,,,,,,Using AI,1,4.0,Positive,4.0,2.0,,,6.0,Senior (5-10),Not Threatened,Data Scientist/ML,1,0,0,0,0,0,1,0,1,1,1,0,3,,,,2,5,8,,,,,,,3.333333333333333,Positive,Other
"No, and I don't plan to",,,,,,,,I am a developer by profession,"Developer, full-stack",,8,7,France,,,,"Independent contractor, freelancer, or self-employed",Remote,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",35-44 years old,,,,,,,Not Using,0,,,,,,,7.0,Senior (5-10),,Full-Stack Developer,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,2,5,8,,,,,,,3.0,Neutral,Western Europe
Yes,Indifferent,Increase productivity;Speed up learning;Improve accuracy in coding,Neither trust nor distrust,"Good, but not great at handling complex tasks",No,Circulating misinformation or disinformation,,I am a developer by profession,"Developer, full-stack",,1,Less than 1 year,Saudi Arabia,,,,"Student, full-time",,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Under 18 years old,,,,,,,Using AI,1,3.0,Neutral,3.0,4.0,,,0.5,Junior (0-2),Not Threatened,Full-Stack Developer,1,1,0,1,0,0,3,0,0,0,0,0,0,,,,2,5,8,,,,,,,3.333333333333333,Positive,Middle East
Yes,Very favorable,Increase productivity;Greater efficiency;Speed up learning;Improve accuracy in coding;Make workload more manageable,Somewhat trust,Very poor at handling complex tasks,No,Circulating misinformation or disinformation;Missing or incorrect attribution for sources of data;Imitating a person's likeness,"AI tools lack context of codebase,  internal architecture, and/or company knowledge;Lack of proper training and education on new tools",I am a developer by profession,"Developer, full-stack",,9,7,Brazil,,,Software Development,"Employed, full-time",Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",25-34 years old,30-60 minutes a day,Less than 15 minutes a day,7.0,,Individual contributor,7.0,Using AI,1,5.0,Positive,4.0,1.0,,,7.0,Senior (5-10),Not Threatened,Full-Stack Developer,1,1,1,1,1,0,5,0,1,0,1,0,2,45.0,,,2,5,8,,,,,,,3.333333333333333,Positive,Latin America
Yes,Very favorable,Increase productivity;Greater efficiency;Speed up learning,Somewhat trust,Neither good or bad at handling complex tasks,No,,We don’t have the right policies in place to reduce security risks;Other (please specify):,I am a developer by profession,Research & Development role,,15,12,Italy,,,Software Development,"Employed, full-time",Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",35-44 years old,60-120 minutes a day,15-30 minutes a day,7.0,,Individual contributor,16.0,Using AI,1,5.0,Positive,4.0,3.0,,,12.0,Expert (10+),Not Threatened,Researcher/Academic,1,1,1,0,0,0,3,0,0,1,0,0,2,90.0,,,2,5,8,,,,,,,4.0,Positive,Western Europe
Yes,Indifferent,Greater efficiency;Speed up learning;Make workload more manageable,Neither trust nor distrust,Neither good or bad at handling complex tasks,No,Missing or incorrect attribution for sources of data;Energy demand,"Don’t trust the output or answers;AI tools lack context of codebase,  internal architecture, and/or company knowledge;They create more work (more code/PRs to review, etc.)",I am a developer by profession,"Developer, full-stack",,22,15,Ireland,,,,"Employed, full-time",Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",35-44 years old,,,,,,,Using AI,1,3.0,Neutral,3.0,3.0,,,15.0,Expert (10+),Not Threatened,Full-Stack Developer,0,1,1,0,1,0,3,1,1,0,0,0,3,,,,2,5,8,,,,,,,3.0,Neutral,Western Europe
"No, and I don't plan to",,,,,,,,I am a developer by profession,Academic researcher,,22,14,Austria,,,Higher Education,"Employed, full-time;Student, full-time",In-person,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",35-44 years old,60-120 minutes a day,Over 120 minutes a day,9.0,,Individual contributor,14.0,Not Using,0,,,,,,,14.0,Expert (10+),,Researcher/Academic,0,0,0,0,0,0,0,0,0,0,0,0,0,90.0,,,2,5,8,,,,,,,3.0,Neutral,Western Europe
Yes,Indifferent,Increase productivity,Neither trust nor distrust,Bad at handling complex tasks,I'm not sure,Replacing jobs without options for new employment opportunities,Lack of proper training and education on new tools,I am a developer by profession,"Developer, full-stack",,10,7,Romania,,,Software Development,"Employed, full-time","Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",25-34 years old,15-30 minutes a day,30-60 minutes a day,9.0,,Individual contributor,3.0,Using AI,1,3.0,Neutral,3.0,2.0,,,7.0,Senior (5-10),Uncertain,Full-Stack Developer,1,0,0,0,0,0,1,0,0,0,1,0,1,22.5,,,2,5,8,,,,,,,2.6666666666666665,Neutral,Eastern Europe
